id,requirement,defect,weak_word
71,In case of an actuator the functions contain also the closed-loop position control and the appropriate diagnostics.,ok,appropriate
72,The scripts use this information in order to execute the appropriate `` Erase '' and `` Program '' algorithms.,ok,appropriate
73,"The value shall change from the response message to the request message after the response message is received and all contained data is processed, e.g. interpreted and forwarded to the appropriate interface.",ok,appropriate
74,A detailed description of the different `` vehicle modes '' and the appropriate operating conditions for the dc / dc converter are to be found in chapter `` Systems Requirements ''.,ok,appropriate
75,See the appropriate AUTOSAR specification for details.,ok,appropriate
76,The rotary slide valve (RSV) shall be controlled by another controller (CPC) according to the appropriate VMM.,ok,appropriate
77,For further details refer to the appropriate network VMM.,ok,appropriate
78,For details refer to the appropriate VMM.,ok,appropriate
79,The gateway communication interface (ECU extract) shall be configured according to the appropriate architecture.,ok,appropriate
80,The specified discharge current is to be obtained by connecting a resistive load of the appropriate size and rating in series with the test cell.,ok,appropriate
81,The diagnostic trace memory is used by the service diagnostic tool to trace test sequence steps performed by the service technician to allow the diagnostic tool to continue the repair procedure where it was interrupted and to allow engineering to determine whether the appropriate repair procedure has been performed at all.,ok,appropriate
82,"The supplier / `` contractor '' is responsible to design, develop, test and certify the CCPL to meet VDE, ECE and CCA approval, confirmation, listing and certification and display the appropriate certification labels.",ok,appropriate
83,"Parts, components and sub-assemblies shall be identified with the appropriate material recyclability identification.",ok,appropriate
84,The complete system diagnostics strategy shall be reviewed and approved by the appropriate OEM platform engineer and documented in the appropriate diagnostic protocol.,ok,appropriate
85,"Based on the transferred configuration, the appropriate coding is selected.",ok,appropriate
86,The contractor shall supply the client with the appropriate HW tools for the low level debug interface.,ok,appropriate
87,"The system shall display the Active Comfort programs `` Refreshment '', `` Activation '' and `` Active Relaxation '' if the vehicle is equipped with the Active Comfort System (VCD_Active_Comfort-Feature Active Comfort equal installed) AND the appropriate variant coding (VCD_Active_Comfort-Program Refreshment, VCD_Active_Comfort-Program Activation, VCD_Active_Comfort-Program Active Relaxation) is set ON (chapter Diagnostic Services).",ok,appropriate
88,"The system shall set the appropriate value of the `` HU_Start '' signal, if the user selects `` Abort running program ''.",ok,appropriate
89,"If the video player participates in the program `` Activation '', the system shall communicate to ACCSW that the requested activating playlist is still about to be played afterwards by sending the appropriate value of signal `` Play_MusicProgr ''.",ok,appropriate
90,The system shall play the appropriate audio file in dependence of the selected video file AND the selected system language (see HMI specification).,ok,appropriate
91,The system shall use the appropriate signals `` HU_SelDuration '' to communicate the duration setting with the ACCSW.,ok,appropriate
92,"In case of a Rear Seat Entertainment System (RSU or Tablet PC), the system shall play the alarm and send it to the appropriate audio output of the selected occupants.",ok,appropriate
93,The system shall play the music with the appropriate volume level in each phase of the PowerNap program (see SYS_AudioH equal Audio Handling).,ok,appropriate
94,"The ACCSW shall stop the execution of an Active Comfort program if the user has terminated the lead function, reading the appropriate signals.",ok,appropriate
95,The ACCSW shall send the signal with the appropriate values.,ok,appropriate
96,"If fine-pitch components are used, the supplier shall take appropriate measures to ensure the quality of the component (e.g. proof of roubustness to particles, lacquering of pins).",defect,appropriate
97,For each single component of the brake system the component supplier shall derive appropriate operation conditions for the EMC component test.,defect,appropriate
98,"The supplier shall take appropriate measures to fulfill the safety requirements, that are relevant for the radar according to the systems functional safety concept (designed according to [ISO 26262]), see chapter Integrity requirements).",defect,appropriate
99,An appropriate algorithm has to be chosen to compensate for small offset drifts of VehYaw Rate in a way that does not compromise LaneRadius dynamic performance.,defect,appropriate
100,The size of the measurement catalogue shall be appropriate to the intended use for regression tests of sw-releases by resimulation.,defect,appropriate
101,"If object-oriented programming is applied, appropriate coding guidelines for object-oriented programming shall be available and discussed with the Client.",defect,appropriate
102,"The supplier shall put appropriate measures in place in its production to ensure that, for example, early failures typically occurring in semiconductors are detected and do not occur after handover to the customer.",defect,appropriate
103,An appropriate application method shall be selected for each chemical as per Table 81 of Appendix A of SPEC LV 124-2 [LH-5383].,defect,appropriate
104,An unique appropriate diagnostic operating instruction shall be provided for each DTC.,defect,appropriate
105,"In order to be able to rapidly assign the impaired components to a fault image, appropriate routines shall be implemented in the ECU.",defect,appropriate
106,"The part number, the software version and where appropriate the diagnostic information of a flashware are allocated in the first 128 byte of the first segment.",defect,appropriate
107,The receiving component has to implement an appropriate parser to map the CANTP structure to internal variables.,defect,appropriate
108,An appropriate debouncing shall be implemented for the detection of every error.,defect,appropriate
109,The absence / evidence of leakage shall be provided by means of appropriate tests by taking into account the specific construction of the component and the specification of the coolant circuit.,defect,appropriate
110,An appropriate opening for routing of the cable must still be defined.,defect,appropriate
111,Secondary functions include providing secure mechanical interfaces from 3-phase voltage supply and attachment to Stator while guaranteeing appropriate standard compliant clearances between phases to elude grounding.,defect,appropriate
112,The contractor may select appropriate tests to measure and prove the characteristical breaking capacity.,defect,appropriate
113,"If the failure is recoverable and an appropriate condition is met, the LBC must continue to operate in the mode commanded via CAN.",defect,appropriate
114,The central activation device uses the crash acceleration and pressure forces measured by appropriate sensors and the resulting values to determine whether the threshold value for firing the seat belt tightener and / or the airbag firing squibs or for activation of the crash switches has been reached (see the `` Technical Specifications for Algorithms '').,defect,appropriate
115,Actions which are appropriate for this are to be planned and coordinated with OEM.,defect,appropriate
116,- Work with CPG and Bumper Lab and seat structure / complete supplier or their appropriate testing facilities to ensure that data collection method is compatible with existing equipment for ease of downloading and processing.,defect,appropriate
117,As this requirement is very important an appropriate draft for solving the problem has to be handed out together with the quote.,defect,appropriate
118,For each frequency range an appropriate reference antenna centred to the corresponding frequency band is used.,defect,appropriate
119,"In order to manage the overall ISM band allocation, an appropriate software application shall be implemented to allow configuration, priorization and management of ISM band allocation by the several components wireless interfaces.",defect,appropriate
120,An appropriate method to evaluate process distributions is a corner-lot characterization and qualification according to AEC-Q100.,defect,appropriate
121,Charging is performed within an appropriate duration in all climatic zones of the target markets.,defect,appropriate
122,The system shall guarantee appropriate speech intelligibility of speech transmitted from the front seat row to the rear seat row.,defect,appropriate
123,The system shall guarantee appropriate speech intelligibility of speech transmitted by the InCarCom system.,defect,appropriate
124,"Then, the allocation to appropriate objects has to be carried out directly in the current system cycle as long as no other detections can be allocated to this object.",defect,appropriate
125,Necessary offset compensation shall only base on comparison of the signals among each other and an appropriate averaging over time and driven distance.,defect,appropriate
126,The proof of competence shall be attested by submission of certificates of attendance of appropriate training events.,defect,appropriate
127,"In case of active ventilation, the component must provide appropriate functions to ensure effective ventilation.",defect,appropriate
128,The misuse analysis results shall be taken into account in the test concept in order to cover the identified risks by appropriate quality assurance measures.,defect,appropriate
129,The adherence of the code to the planned architecture has to be verified by the Contractor with appropriate methods.,defect,appropriate
130,An appropriate transformer shall be used for the connection between PHY and Ethernet connector.,defect,appropriate
131,Remark: The HU shall provide the ability to change this frame rate by an appropriate diagnosis service.,defect,appropriate
132,The materials getting in contact with the air / hydrogen mixture have to be appropriate in terms of degradation and wear.,defect,appropriate
133,ATCU functions that shall not be accessible to unauthorized persons shall have appropriate security mechanisms in place.,defect,appropriate
134,SCC shall ignore any SDP response message that was sent from an IP Adress which is not valid or regarded as not appropriate.,defect,appropriate
135,SCC shall ignore any SDP response message that provides an SECC server IP address which is not valid or regarded as not appropriate.,defect,appropriate
136,"This could be realised, by physically erasing the certificate or by changing the content of the certificate, e.g. length information of the certificate or appropriate control information of the NvM.",defect,appropriate
137,Make sure to use coupling capacities with appropriate electric strength.,defect,appropriate
138,This component shall have a control logic for the interlock signal and appropriate control measures shall be provided.,defect,appropriate
139,The contractor has to deliver an appropriate derating diagram.,defect,appropriate
140,"The base plate of the SDC has to be designed with four sockets of 1cm^2 mounting area each, to ensure both, appropriate fixation and thermal conduction.",defect,appropriate
141,"Additionally, all signals require proper conversion and level shifting when appropriate.",defect,appropriate
142,"- At functional points positioned on different components, direct tolerance dependencies must be taken into consideration and verified in production by appropriate measures.",defect,appropriate
143,Cooling plate must connect to the cooling valve in an appropriate way.,defect,appropriate
144,The internal cooling circuit must be connected to the standardized cooling interface in an appropriate way.,defect,appropriate
145,This information has to be transported to the BMC electronics via an appropriate bus system.,defect,appropriate
146,The effectiveness of the line protection shall be verified by the system supplier by carrying out appropriate tests.,defect,appropriate
147,"The ORC uses acceleration and air pressure signals, measured by appropriate sensors to determine a crash event.",defect,appropriate
148,The function of the ORC must be protected against unauthorized influences - even from appropriate diagnostic resources.,defect,appropriate
149,The supplier is able to reduce the element number to a number that is appropriate for numerical simulations.,defect,appropriate
150,The antenna system supplier delivers a numerical model appropriate for simulations.,defect,appropriate
151,The geometrical information is exchanged in a way that is appropriate for surface current formulations.,defect,appropriate
152,All frequency dependent properties must be appropriate for the incident frequency.,defect,appropriate
153,The antenna supplier has to ensure that the positions defined together with the mirror supplier are appropriate to meet the required performance.,defect,appropriate
154,"For each frequency band, an appropriate reference antenna is used.",defect,appropriate
155,The supplier has to use appropriate band pass filters for each measurement.,defect,appropriate
156,Charging shall be accomplished within an appropriate time in all market relevant zones.,defect,appropriate
157,"These parameters can be calculated afterwards [ADS, Matlab] or during the measurement using a virtual antenna embedded in the VNA by appropriate modification of calibration error terms.",defect,appropriate
158,The Transmitter shall transform the stored data in appropriate exchange format.,defect,appropriate
159,"Appropriate firing thresholds are calculated on the basis of the crash measurement signals under consideration of all parameters (belt buckle status, equipment programming, etc.).",defect,appropriate
160,Appropriate place / room for EMC improvements has to be considered at the begin of component development.,defect,appropriate
161,The contractor shall ensure that all fault paths are checked automatically (self-diagnosis using appropriate routines or I / O controls).,ok,appropriate
162,The contractor shall target an architecture that allows an exchange of radio technologies without requiring PCB modification (for example by selecting an appropriate chipset).,ok,appropriate
163,"In case the ECU is running in the Extended Diagnostic Session and receives the UDS Diagnostic Service `` Communication Control - Service Identifier [28 hex] '' with the control type 0x00 or 0x80 (Enable Rx And Tx) or the ECU switches into the Default Session, the converter has to switch into the requested mode (or LHOM in case of appropriate conditions), immediately.",ok,appropriate
164,"(To avoid significant overshoot and oscillation of ouput voltage, and to fulfill the dynamic behaviour requirements, it is allowed to reduce output power, as appropriate, in case the actual LV voltage is close to the SDC 's LV voltage set point.)",ok,appropriate
165,It has to be assured that it is not possible to get a badly calculated engine position (and as a result injections at incorrect angular positions) even if the crank signal is disrupted intermittently.,ok,bad
166,"The fault will be set if the temperature of the Charge Coupler does rise too fast, indicating e.g. a badly conditioned contact on vehicle or cordset side.",defect,bad
167,Scope: HIL testing of CAN object interface with good and worst case conditions,defect,bad
168,Scope: HIL testing of FR object interface with good and worst case conditions,defect,bad
169,It shall be possible to change the sensor to compare a bad sensor to a good sensor under equal condition on raw data level within a FAP5-system vehicle.,defect,bad
170,Since the mounting characteristics can be worse during oblique insertion it must be guaranteed that mounting with a maximal oblique direction of insertion movement is possible without any restrictions (see also the following article).,defect,bad
171,An engine stalling due to synchronisation problems and without bad driver behaviour must not occur without a fault.,defect,bad
172,"To distinguish between normal engine running and bad driver actions, the software has to use the current gear and clutch information on manual transmission cars to detect if the driver has occured an engine stalling.",defect,bad
173,"If bad wheather conditions or a visual range shorter than 20 meters do not allow a valid measurement for all sample points, the SMPC shall deliver only valid measurements.",defect,bad
174,The predicted power shall be based on the worst cell with the lowest voltage.,ok,bad
175,"Operating time, total clearing time (441-18-22) and prearcing time (441-18-21), for the worst case including temperature influences and production tolerances in the temperature range between - 40°C and + 85°C shall be specified.",ok,bad
176,"For the auxiliaries such as EKMV and PTC, Operating time, total clearing time (441-18-22) and prearcing time (441-18-21), for the worst case including temperature influences and production tolerances in the temperature range between - 40°C and + 125°C shall be specified.",ok,bad
177,Reference value: An EEPROM write cycle should typically be 2-5 milliseconds long and shall not exceed 20 milliseconds in the worst case scenario.,ok,bad
178,All tests shall be performed and passed at the worst case automotive boundary conditions.,ok,bad
179,"Bad weather conditions (heavy rain, snow) that have a negative influence on system performance have to be detected.",ok,bad
180,"The accuracy of the system shall be at least two times better than all required position accuracies and not worse than a factor of 5 in all other values (velocity, acceleration, latency etc).",ok,bad
181,The software Code resources analysis shall give a Verification of worst case execution time (WCET).,ok,bad
182,Worst case scenario must be established by the contractor and approved by the client.,ok,bad
183,"In case that the electronics for isolation measurement failed, a worst case value less than 100 Ohm / Volt is assumed (internal and external).",ok,bad
184,In case of no or bad access (see general assembly requirements) in production these parts shall be content of battery delivery.,ok,bad
185,"Here, the worst parameter is decisive for the category (see chart).",ok,bad
186,It must be guaranteed that the CPU peak load during crash algorithm in worst case is max. 90%.,ok,bad
187,BSBRange2 indicates a worse state than BSBRange1.,ok,bad
188,All 3 modes of the browser shall run seperately which leads in a worst case scenario to more than 512 MB of RAM.,ok,bad
189,All environmental requirements which are specific for Chinese market and worse than the clients own requirements shall also be fulfilled.,ok,bad
190,Finally the operation / buildability of the whole component (worst case boundary sample) has to be verified.,ok,bad
191,The OBC shall be operated at different load conditions (worst case derived by the supplier upon agreement with the customer).,ok,bad
192,"Number of firing loops that have to be fired at `` worst case '' conditions (temperature, firing duration, firing current etc.) is defined in algorithm specification..",ok,bad
193,For verification of the RF reception performance calibrated wheel sensors with minimal RF power (worst case power) shall be used.,ok,bad
194,"The SIM OS shall implement intelligent mechanisms to reduce memory stress such as over-provisioning, trim, wear-leveling and bad block mapping.",defect,bad
195,BSBRange1 equal 1 is set when the power network state is bad.,defect,bad
196,The value BSBRange1 indicates a bad power network state.,defect,bad
197,PN14_AS_Off_Rq equal 1 indicates that the powernet state is bad.,defect,bad
198,"Only if a bad powernet condition is detected by the IODC, the bus is woken up to switch off the telematics.",defect,bad
199,It is diconnected if the generator management ist switched on or the powernet state is too bad.,defect,bad
200,After setting the wire to low the engine controller has to wait for a certain amount of time before the starter is started,defect,certain
201,"-IBS sleep mode, where communication is needed only in certain situations.",defect,certain
202,"The following functions for the car-to-infrastructure application have to be performed by the head unit: vehicle position updates have to be sent to the OEMVB (every x minutes / meters, to allow addressing of relevant vehicles) certain data from the vehicle network has to be collected by the HUH and has to be pre-processed according to algorithms provided by OEM the pre- processed data has to be sent regularly to OEMVB and notifications of dangerous spots have to be received received notifications have to be checked by the head unit for relevance for the driver (spots shall be map-matched) presentation of relevant notifications to the driver on the head unit HMI and the instrument cluster",defect,certain
203,The contractor shall ensure that all decided actions (agreed by the contractor) are realized until next software release or realized until a certain date (confirmed by the client) and controlled by the contractor.,ok,certain
204,To use additional Navigation data from external user memory devices offers the possibility to enhance the navigation functionality with certain additional features (e.g. very rich 3D-content).,ok,certain
205,Possibility to change certain behavior like message / frame cycle time of active setting at initialization.,ok,certain
206,Within buck mode the dc / dc converter should be able to deliver a peak output current (I_peak) for a certain time (maximum T_peak_max).,ok,certain
207,"After an I_peak event, the dc / dc converter is allowed to deliver a reduced output current (I_recover) for a certain time (T_recover).",ok,certain
208,Certain general test parameters are defined in the following list (also see SPEC 10305-1 Draft 1: E / E Environmental Testing; Part 1: Test Specifications>):,ok,certain
209,"The contractor has to proof during development period, that there is no gap at a certain current level between the two reaction methods.",ok,certain
210,"The end of charge signal is reset after the SOC has dropped by a certain delta, for example 5 %.",ok,certain
211,"In the case of certain components (see Table 1.6-2), the contents of the barcode are to be shown alphanumerically below the barcode itself.",ok,certain
212,In certain critical states of the car (e.g. emergency braking or an accident) some convenience consumers can be switched off very fast to guarantee the safety functions.,ok,certain
213,"For realization that preconditions are achieved, ACCSW sends out certain requests (e.g. to close windows, lock doors or engage parking brake).",ok,certain
214,The DRCAM shall provide valid measurements if PN is within a certain border area outside the real eye ellipse according to AGMR-631.,ok,certain
215,When received the response UDE shall save the file with a certain name (tbd) in a certain directory (tbd) on the USB stick.,ok,certain
216,"certain information or documents, such as license text, must be included in the product documentation and / or other materials provided along with the software.",ok,certain
217,"The TCU communicates with OBC in order to activate or deactivate certain functions, such as smart charging.",ok,certain
218,"The TCU communicates with CPC in order to activate and deactivate certain functions, such as preconditioning.",ok,certain
219,"The contractor shall prepare the architecture to be able to introduce additional variants for certain countries, such as China.",ok,certain
220,In general it is to be made certain that the throttle is easily mountable and dismountable in combination with the intake manifold and other involved components.,ok,certain
221,"If the component possesses an internal discrete or integrated voltage regulator, it must be certain that safety is maintained in the event of loss of function of the voltage regulator and no damage or errors in control unit function result.",ok,certain
222,The supplier shall store 15 to 60 music files provided by OEM on the durable storage (the music files may vary depending on a certain headunit hardware version for a specific region).,ok,certain
223,The supplier shall store training video files and several audiofiles in different languages provided by OEM in the persistent memory (the training video files may vary depending on a certain headunit hardware version for a specific region).,ok,certain
224,A basic set of up to 3 alarm files will be stored on the HU durable storage (the alarm files may vary depending on a certain headunit hardware version for a specific region).,ok,certain
225,In the design stage evaluation certain indicators of the components are evaluated; these indicators shall be agreed upon separately.,defect,certain
226,"For validation of certain component functions a function specific data base may be necessary, e.g. tunnels and bridges, pedestrians, oncoming or crossing objects, situations with high yaw dynamic, lane radius verification, etc.",defect,certain
227,The detection shall be done in a certain way and filter for error detection shall be used.,defect,certain
228,This component is essentially relevant to keep the environment temperature of certain telematic components in a safe temperature range.,defect,certain
229,The OEM may define certain requirements for a component that may influence the (switch) module specification.,defect,certain
230,Certain vehicle lines will have the Button interface status sent over the CAN bus to the TCU.,defect,certain
231,For a more comprehensive introduction to certain topics further AUTOSAR specifications have to be considered (see www.autosar.org).,defect,certain
232,In certain cases it may be necessary to limit engine speed as a long term adjustment.,defect,certain
233,By using the Predefined Routine Identifier `` Control Fail Save Reactions '' certain ECU internal DTC reactions shall be disabled.,defect,certain
234,"During the development phase, certain applicable parameters can be stored in the EEPROM and copied to RAM when the system is started up.",defect,certain
235,"If the cell voltages of the Li-Ion battery differ more than a certain value, the battery has to be kept in full charge to enable an internal balancing of the cells.",defect,certain
236,Certain states of the car and currently running functions or events require the DDP not to open the DDP relay.,defect,certain
237,The Error conditions are set if a certain threshold of the Rdi-value has been reached.,defect,certain
238,"To prevent a very fast consumer deacitivation by the DLM when the windshield heater is turned on, there is a certain offset voltage which is allowed during the defrosting cycle.",defect,certain
239,If the internal resistance of the battery is above a certain value the maximum charge of the battery is limited to an upper value.,defect,certain
240,"If the detection has not been working after a certain time, the battery is charged again.",defect,certain
241,"If the battery charge sum since the last time a full charge has been detected exceeds a certain value, the battery has to be charged until it is detected as full.",defect,certain
242,Therefore the load and the maximum alternator current at certain engine speeds is calculated and the desired engine speed is sent to the engine controller.,defect,certain
243,The battery sensor IBS is set to a certain mode depending on the state of the car.,defect,certain
244,"If this voltage is below a certain level, the automatic stop is disabled and the GM1 is ended.",defect,certain
245,When certain conditions are fulfilled the IODM can be reset via diagnostics.,defect,certain
246,The antenna amplifier needs a certain immunity against interference of its phantom power supply.,defect,certain
247,The component shall provide the possibility to switch on / off certain parts of the applications via variant coding.,defect,certain
248,The component shall implement a possibility to shut down certain hardware parts depending on the components internal temperature.,defect,certain
249,"Telelog is a SNAP enabled HU native application, in which certain specified telematics feature usages are logged by the HU, and the logs are sent to the OEM Vehicle Backend (OEMVB) for further analysis.",defect,certain
250,The Eventlog offers the possibility to look up certain events during development or for aftersales analysis.,defect,certain
251,Under certain circumstances it might be necessary to change a value.,defect,certain
252,The detection shall be done in a certain way and filter for error detection shall be used.,defect,certain
253,The system shall provide an interface to import logfiles into the component to simulate certain driving situations.,defect,certain
254,The supplier shall agree with the OEM on the CAN messages for certain temperature stages after awarding of contract.,defect,certain
255,The TCU is connected to the ORC redundantly via CAN and LIN to execute automatic emergency calls on certain crash levels.,defect,certain
256,One communication configuration represents e.g. a certain vehicle line.,defect,certain
257,"The OBC must switch off, when PE-resistance exceed a certain value.",defect,certain
258,It has to be taken into consideration that this supply current shall be symmetrically for all cells within the module to prevent any interferences with the equalizing function of certain cells in the module.,defect,certain
259,Carefulness requires that the test be carried out with a certain time lag regarding the high side switch of the output stages.,defect,certain
